category,level,outcome,outcome_level,n
CC389,1,DD13,4110,10
CC389,1,DD13,4600,5
CC389,1,DD13,3615,10
CC389,1,DD13,3760,30
CC389,1,DD13,4170,10
CC389,1,DD13,3790,30
CC389,1,DD13,3700,40
CC389,1,DD13,3630,30
CC389,1,DD13,2430,5
CC389,1,DD13,3330,20
CC389,1,DD13,3440,30
CC389,1,DD13,2860,5
CC389,1,DD13,3022,5
CC389,1,DD13,3800,40
CC389,1,DD13,3295,5
CC389,1,DD13,4090,10
CC389,1,DD13,2290,5
CC389,1,DD13,3875,5
CC389,1,DD13,3200,30
CC389,1,DD13,3890,20
CC389,1,DD13,0,430
CC389,1,DD13,3758,5
CC389,1,DD13,3300,20
CC389,1,DD13,4414,5
CC389,1,DD13,3640,30
CC389,1,DD13,4322,5
CC389,1,DD13,4100,20
CC389,1,DD13,3784,5
CC389,1,DD13,2984,5
CC389,1,DD13,3360,20
CC389,1,DD13,3750,30
CC389,1,DD13,3530,10
CC389,1,DD13,3570,20
CC389,1,DD13,3130,10
CC389,1,DD13,3370,20
CC389,1,DD13,4142,5
CC389,1,DD13,3340,20
CC389,1,DD13,4660,5
CC389,1,DD13,2520,5
CC389,1,DD13,3920,20
CC389,1,DD13,4010,20
CC389,1,DD13,2670,5
CC389,1,DD13,4250,10
CC389,1,DD13,3910,20
CC389,1,DD13,2840,10
CC389,1,DD13,3915,5
CC389,1,DD13,1310,5
CC389,1,DD13,3355,5
CC389,1,DD13,3580,30
CC389,1,DD13,3815,5
CC389,1,DD13,3250,30
CC389,1,DD13,3480,30
CC389,1,DD13,3503,5
CC389,1,DD13,4538,5
CC389,1,DD13,4370,5
CC389,1,DD13,3730,30
CC389,1,DD13,4358,5
CC389,1,DD13,3220,10
CC389,1,DD13,4330,5
CC389,1,DD13,3770,30
CC389,1,DD13,4000,30
CC389,1,DD13,3678,5
CC389,1,DD13,2458,5
CC389,1,DD13,3505,5
CC389,1,DD13,3100,20
CC389,1,DD13,3326,5
CC389,1,DD13,3020,10
CC389,1,DD13,4270,10
CC389,1,DD13,4520,5
CC389,1,DD13,2990,20
CC389,1,DD13,3055,5
CC389,1,DD13,3716,5
CC389,1,DD13,3868,5
CC389,1,DD13,3410,30
CC389,1,DD13,3070,20
CC389,1,DD13,4020,20
CC389,1,DD13,2890,10
CC389,1,DD13,3270,20
CC389,1,DD13,3398,5
CC389,1,DD13,3110,10
CC389,1,DD13,3235,5
CC389,1,DD13,4590,5
CC389,1,DD13,3210,10
CC389,1,DD13,2765,5
CC389,1,DD13,3320,20
CC389,1,DD13,3126,5
CC389,1,DD13,4300,20
CC389,1,DD13,2916,5
CC389,1,DD13,4419,5
CC389,1,DD13,5710,5
