category,level,outcome,outcome_level,n,Unnamed: 5
CC391,1,DD14,51,270,
CC391,1,DD14,54,60,
CC391,1,DD14,50,300,
CC391,1,DD14,48,110,
CC391,1,DD14,49,190,
CC391,1,DD14,52,180,
CC391,1,DD14,47,80,
CC391,1,DD14,39,5,
CC391,1,DD14,55,20,
CC391,1,DD14,45,30,
CC391,1,DD14,53,120,
CC391,1,DD14,42,5,
CC391,1,DD14,43,5,
CC391,1,DD14,51.5,5,
CC391,1,DD14,49.5,5,
CC391,1,DD14,33,5,
CC391,1,DD14,56,5,
CC391,1,DD14,46,30,
CC391,1,DD14,39.5,5,
CC391,1,DD14,44,5,
CC391,1,DD14,57,5,
CC391,1,DD14,41,5,
CC391,1,DD14,53.5,5,
CC391,1,DD14,58,5,
CC391,1,DD14,55.5,5,
CC391,1,DD14,46.5,5,
CC391,1,DD14,35,5,
CC391,1,DD14,48.5,5,
CC391,1,DD14,51.6,5,
CC391,1,DD14,50.5,5,
CC391,1,DD14,38,5,
CC391,1,DD14,36,5,
CC391,1,DD14,44.5,5,
CC391,1,DD14,52.5,5,
CC391,1,DD14,52.3,5,
CC391,1,DD14,48.4,5,
CC391,1,DD14,63,5,
