category,level,outcome,outcome_level,n
CC392,1,DD14,51,210
CC392,1,DD14,54,50
CC392,1,DD14,50,240
CC392,1,DD14,48,80
CC392,1,DD14,55,10
CC392,1,DD14,47,60
CC392,1,DD14,39,5
CC392,1,DD14,0,110
CC392,1,DD14,49,140
CC392,1,DD14,52,140
CC392,1,DD14,46,30
CC392,1,DD14,45,20
CC392,1,DD14,53,90
CC392,1,DD14,43,5
CC392,1,DD14,51.5,5
CC392,1,DD14,49.5,5
CC392,1,DD14,33,5
CC392,1,DD14,56,5
CC392,1,DD14,39.5,5
CC392,1,DD14,57,5
CC392,1,DD14,42,5
CC392,1,DD14,53.5,5
CC392,1,DD14,46.5,5
CC392,1,DD14,44,5
CC392,1,DD14,48.5,5
CC392,1,DD14,51.6,5
CC392,1,DD14,50.5,5
CC392,1,DD14,41,5
CC392,1,DD14,38,5
CC392,1,DD14,52.5,5
CC392,1,DD14,36,5
CC392,1,DD14,44.5,5
CC392,1,DD14,50.3,5
CC392,1,DD14,52.3,5
CC392,1,DD14,63,5
