category,level,outcome,outcome_level,n,1 = 1
any,any,DD12,girl,39780,2 = 2
any,any,DD12,boy,41380,3 = missing
CC388,0,DD12,boy,37760,
CC388,0,DD12,missing,7430,
CC388,0,DD12,girl,35770,
CC389,0,DD12,boy,39320,
CC389,0,DD12,missing,7740,
CC389,0,DD12,girl,37480,
CC390,0,DD12,boy,40350,
CC390,0,DD12,missing,7970,
CC390,0,DD12,girl,38620,
CC391,0,DD12,boy,40670,
CC391,0,DD12,missing,8040,
CC391,0,DD12,girl,39000,
CC392,0,DD12,boy,40830,
CC392,0,DD12,missing,8060,
CC392,0,DD12,girl,39180,
CC388,1,DD12,girl,4010,
CC388,1,DD12,boy,3620,
CC388,1,DD12,missing,730,
CC389,1,DD12,girl,2300,
CC389,1,DD12,boy,2060,
CC389,1,DD12,missing,430,
CC390,1,DD12,girl,1160,
CC390,1,DD12,boy,1030,
CC390,1,DD12,missing,200,
CC391,1,DD12,girl,770,
CC391,1,DD12,boy,710,
CC391,1,DD12,missing,130,
CC392,1,DD12,girl,590,
CC392,1,DD12,boy,550,
CC392,1,DD12,missing,100,
CC141,0,DD12,girl,39640,
CC141,0,DD12,boy,41280,
CC141,0,DD12,missing,8140,
CC142,0,DD12,girl,39730,
CC142,0,DD12,boy,41350,
CC142,0,DD12,missing,8160,
CC143,0,DD12,girl,39760,
CC143,0,DD12,boy,41360,
CC143,0,DD12,missing,8160,
CC144,0,DD12,girl,39750,
CC144,0,DD12,boy,41360,
CC144,0,DD12,missing,8160,
CC141,1,DD12,girl,130,
CC141,1,DD12,boy,100,
CC141,1,DD12,missing,30,
CC142,1,DD12,boy,30,
CC142,1,DD12,girl,40,
CC142,1,DD12,missing,5,
CC143,1,DD12,boy,20,
CC143,1,DD12,missing,5,
CC143,1,DD12,girl,20,
CC144,1,DD12,boy,20,
CC144,1,DD12,girl,20,
CC144,1,DD12,missing,5,
CC145,1,DD12,boy,5,
CC145,1,DD12,girl,20,
CC145,1,DD12,missing,5,
